odb8_og_id	bee_gene_ids	mouse_gene_ids	stickleback_gene_ids
EOG8F4TP1	GB52812	ENSMUSG00000046269;ENSMUSG00000067215;ENSMUSG00000042506	ENSGACG00000005496;ENSGACG00000011192
EOG8F4TP4	GB55660	ENSMUSG00000025758	ENSGACG00000008202
EOG8F4TPD	GB55568;GB51088;GB50239;GB42141;GB42841	ENSMUSG00000027332;ENSMUSG00000027710;ENSMUSG00000030861;ENSMUSG00000062908;ENSMUSG00000018574;ENSMUSG00000029545;ENSMUSG00000031969	ENSGACG00000011107;ENSGACG00000010582;ENSGACG00000019329;ENSGACG00000008724;ENSGACG00000016497;ENSGACG00000002502
EOG8F4TPH	GB41760;GB47668;GB47273	ENSMUSG00000024770;ENSMUSG00000086875;ENSMUSG00000024781;ENSMUSG00000024766;ENSMUSG00000079344;ENSMUSG00000024771;ENSMUSG00000056078;ENSMUSG00000079342;ENSMUSG00000024768;ENSMUSG00000087303	ENSGACG00000009981
EOG8F4TPK	GB44966	ENSMUSG00000026662;ENSMUSG00000049091	ENSGACG00000012282;ENSGACG00000013165
EOG8F4TPM	GB45820	ENSMUSG00000042148	ENSGACG00000003334
EOG8F4TQC	GB52651	ENSMUSG00000057147	ENSGACG00000010500
EOG8F4TRG	GB47476	ENSMUSG00000030536;ENSMUSG00000021676;ENSMUSG00000028068	ENSGACG00000010070;ENSGACG00000003101;ENSGACG00000017438
EOG8F4TRJ	GB48783	ENSMUSG00000033752	ENSGACG00000016812
EOG8F4TRR	GB40221	ENSMUSG00000006736;ENSMUSG00000020577	ENSGACG00000013330;ENSGACG00000011730
EOG8F4TS6	GB44173	ENSMUSG00000062169	ENSGACG00000014027
EOG8F4TSP	GB54250	ENSMUSG00000036972;ENSMUSG00000061524;ENSMUSG00000032368;ENSMUSG00000067860;ENSMUSG00000041703	ENSGACG00000017211;ENSGACG00000001900;ENSGACG00000017212;ENSGACG00000003685;ENSGACG00000003678;ENSGACG00000001901
EOG8F7PWJ	GB53034	ENSMUSG00000034663;ENSMUSG00000057230	ENSGACG00000011014;ENSGACG00000017085;ENSGACG00000001223
EOG8F7PWM	GB45127;GB41693;GB45361	ENSMUSG00000025544;ENSMUSG00000002814;ENSMUSG00000068040	ENSGACG00000007735;ENSGACG00000017218;ENSGACG00000003663;ENSGACG00000002358
EOG8F7PWN	GB48872;GB48873	ENSMUSG00000075273;ENSMUSG00000075271;ENSMUSG00000075272	ENSGACG00000014954
EOG8F7PWR	GB45868	ENSMUSG00000028086	ENSGACG00000018606
EOG8F7PWT	GB46306	ENSMUSG00000022682	ENSGACG00000004364
EOG8F7PWV	GB40652	ENSMUSG00000029534;ENSMUSG00000045576	ENSGACG00000009091;ENSGACG00000006093
EOG8F7PWX	GB52028;GB41358	ENSMUSG00000037742;ENSMUSG00000016349	ENSGACG00000002175;ENSGACG00000002143;ENSGACG00000018090;ENSGACG00000002182;ENSGACG00000004505
EOG8F7PX0	GB40765	ENSMUSG00000034647;ENSMUSG00000035569	ENSGACG00000016650;ENSGACG00000015450
EOG8F7PX3	GB45834;GB48308	ENSMUSG00000047674;ENSMUSG00000031299	ENSGACG00000020677;ENSGACG00000012803
EOG8F7PXK	GB52636	ENSMUSG00000055128	ENSGACG00000005681
EOG8F7PXZ	GB52350	ENSMUSG00000046836	ENSGACG00000004335
EOG8F7Q0R	GB45844;GB45843	ENSMUSG00000044442	ENSGACG00000014248
EOG8F7Q0S	GB43422	ENSMUSG00000039452;ENSMUSG00000024535	ENSGACG00000007247;ENSGACG00000017186
EOG8F7Q0T	GB46268	ENSMUSG00000021476;ENSMUSG00000036371	ENSGACG00000006722;ENSGACG00000014467;ENSGACG00000016146
EOG8FBK44	GB42916;GB42455	ENSMUSG00000030131;ENSMUSG00000047228;ENSMUSG00000059908	ENSGACG00000005228;ENSGACG00000005083;ENSGACG00000005067
EOG8FBK4Z	GB55333	ENSMUSG00000021555	ENSGACG00000007653
EOG8FBK4D	GB50812	ENSMUSG00000063439	ENSGACG00000007022
EOG8FBK4F	GB48462	ENSMUSG00000079259	ENSGACG00000008309
EOG8FBK4H	GB40540	ENSMUSG00000025437;ENSMUSG00000026854	ENSGACG00000016551;ENSGACG00000015949
EOG8FBK4M	GB52559	ENSMUSG00000039704	ENSGACG00000007686;ENSGACG00000013445
EOG8FBK4Q	GB45228	ENSMUSG00000032997;ENSMUSG00000038181	ENSGACG00000007044;ENSGACG00000004595
EOG8FBK4T	GB42664	ENSMUSG00000070291	ENSGACG00000012072
EOG8FBK4W	GB47016;GB47017	ENSMUSG00000039648;ENSMUSG00000040213	ENSGACG00000004360;ENSGACG00000015991
EOG8FBK53	GB53426	ENSMUSG00000025156	ENSGACG00000004234
EOG8FBK54	GB41490	ENSMUSG00000022009	ENSGACG00000013742;ENSGACG00000013738
EOG8FBK59	GB52798	ENSMUSG00000033458	ENSGACG00000006141
EOG8FBK5C	GB51721	ENSMUSG00000039841	ENSGACG00000018833
EOG8FBK63	GB44467;GB43651	ENSMUSG00000019774;ENSMUSG00000022022	ENSGACG00000001302;ENSGACG00000013728
EOG8FBK6K	GB50097;GB50096;GB42856	ENSMUSG00000018846;ENSMUSG00000033610;ENSMUSG00000040220;ENSMUSG00000029056;ENSMUSG00000037514	ENSGACG00000001727;ENSGACG00000004331;ENSGACG00000015906;ENSGACG00000004895;ENSGACG00000014479
EOG8FBK6P	GB52762	ENSMUSG00000029073;ENSMUSG00000046811	ENSGACG00000011282;ENSGACG00000000328;ENSGACG00000020391
EOG8FFFC1	GB53783;GB53787	ENSMUSG00000022096;ENSMUSG00000053470;ENSMUSG00000038773;ENSMUSG00000037876	ENSGACG00000015362;ENSGACG00000018131
EOG8FFFC2	GB48854	ENSMUSG00000000197	ENSGACG00000001926
EOG8FFFC6	GB45474	ENSMUSG00000052726;ENSMUSG00000058740	ENSGACG00000013992;ENSGACG00000010356;ENSGACG00000016074
EOG8FFFC7	GB50503;GB49869	ENSMUSG00000028158	ENSGACG00000017850
EOG8FFFC8	GB45360	ENSMUSG00000002718	ENSGACG00000000963
EOG8FFFC9	GB52079	ENSMUSG00000050310	ENSGACG00000011831
EOG8FFFCC	GB52988	ENSMUSG00000017861;ENSMUSG00000036281	ENSGACG00000010763
EOG8FFFCG	GB46877	ENSMUSG00000061578;ENSMUSG00000018334	ENSGACG00000013663;ENSGACG00000014173;ENSGACG00000020303
EOG8FFFCK	GB42771	ENSMUSG00000015095	ENSGACG00000016714
EOG8FFFCM	GB53092	ENSMUSG00000037474	ENSGACG00000009980
EOG8FFFCP	GB44597	ENSMUSG00000027998	ENSGACG00000016851
EOG8FFFCR	GB49781	ENSMUSG00000039480	ENSGACG00000006155
EOG8FFFCZ	GB48973	ENSMUSG00000040276;ENSMUSG00000027257;ENSMUSG00000016664	ENSGACG00000013508;ENSGACG00000017333;ENSGACG00000008706;ENSGACG00000019857;ENSGACG00000004918;ENSGACG00000003301
EOG8FFFD6	GB45179	ENSMUSG00000028274	ENSGACG00000008340;ENSGACG00000008281
EOG8FFFDF	GB50867	ENSMUSG00000026174	ENSGACG00000002543
EOG8FFFDS	GB51718	ENSMUSG00000022544	ENSGACG00000014940
EOG8FFFDT	GB46155;GB53861	ENSMUSG00000022386	ENSGACG00000019024
EOG8FFFF1	GB51703	ENSMUSG00000002059;ENSMUSG00000020175	ENSGACG00000020514;ENSGACG00000014678;ENSGACG00000011190
EOG8FFFF6	GB40355	ENSMUSG00000003208	ENSGACG00000009787
EOG8FFFFF	GB44085	ENSMUSG00000021772;ENSMUSG00000017837	ENSGACG00000008761;ENSGACG00000007951
EOG8FFFFJ	GB41762	ENSMUSG00000018442;ENSMUSG00000009092	ENSGACG00000018394;ENSGACG00000014757
EOG8FFFFP	GB49299	ENSMUSG00000038671	ENSGACG00000011497
EOG8FFFFT	GB50661	ENSMUSG00000074797	ENSGACG00000014686
EOG8FFFH0	GB44425	ENSMUSG00000020462	ENSGACG00000010814
EOG8FFFH1	GB52454;GB48332	ENSMUSG00000026568	ENSGACG00000003264
EOG8FJ9M0	GB53412;GB52590	ENSMUSG00000025153	ENSGACG00000002204
EOG8TQNMG	GB43074	ENSMUSG00000032462;ENSMUSG00000027665;ENSMUSG00000039936;ENSMUSG00000020573	ENSGACG00000006156;ENSGACG00000019186;ENSGACG00000004193;ENSGACG00000005645;ENSGACG00000007313;ENSGACG00000016071;ENSGACG00000001192
EOG8FJ9M4	GB54909	ENSMUSG00000040969;ENSMUSG00000045094;ENSMUSG00000025195	ENSGACG00000006500;ENSGACG00000017545;ENSGACG00000017541;ENSGACG00000016808
EOG8FJ9M6	GB45363	ENSMUSG00000041949	ENSGACG00000014081
EOG8FJ9MK	GB48707	ENSMUSG00000025199;ENSMUSG00000031537	ENSGACG00000004179;ENSGACG00000006698;ENSGACG00000004136
EOG8FJ9MM	GB45102	ENSMUSG00000024906	ENSGACG00000018793
EOG8FJ9MP	GB48563	ENSMUSG00000038733	ENSGACG00000014036;ENSGACG00000013403
EOG8FJ9MX	GB45883	ENSMUSG00000022214	ENSGACG00000002183
EOG8FJ9MZ	GB44299	ENSMUSG00000042870;ENSMUSG00000037827;ENSMUSG00000020541;ENSMUSG00000000538	ENSGACG00000009286;ENSGACG00000012035;ENSGACG00000006786;ENSGACG00000019074
EOG8FJ9ND	GB43692	ENSMUSG00000003135	ENSGACG00000007941
EOG8FJ9NV	GB54240	ENSMUSG00000046909	ENSGACG00000019419
EOG8FJ9P1	GB53712	ENSMUSG00000029598;ENSMUSG00000030214	ENSGACG00000007477;ENSGACG00000009498;ENSGACG00000004637
EOG8FJ9P4	GB47160;GB47849	ENSMUSG00000026520;ENSMUSG00000022571;ENSMUSG00000025140	ENSGACG00000019043;ENSGACG00000005640;ENSGACG00000011120
EOG8FJ9PH	GB40978	ENSMUSG00000054455;ENSMUSG00000024091	ENSGACG00000016667;ENSGACG00000006131;ENSGACG00000005571
EOG8FJ9Q0	GB45679	ENSMUSG00000045215;ENSMUSG00000037486;ENSMUSG00000042548	ENSGACG00000012822;ENSGACG00000011377
EOG8FJ9R9	GB50371	ENSMUSG00000030291	ENSGACG00000019530
EOG8FJ9S6	GB53703	ENSMUSG00000092116	ENSGACG00000009022
EOG8TMSGX	GB44356;GB47718;GB54093;GB45050;GB40407;GB41913	ENSMUSG00000048540;ENSMUSG00000025128;ENSMUSG00000034161;ENSMUSG00000068079;ENSMUSG00000026735;ENSMUSG00000045493;ENSMUSG00000052271;ENSMUSG00000039830;ENSMUSG00000045591	ENSGACG00000009403;ENSGACG00000007415;ENSGACG00000014760;ENSGACG00000011799;ENSGACG00000002152;ENSGACG00000005863;ENSGACG00000002995;ENSGACG00000014053;ENSGACG00000010412;ENSGACG00000011390;ENSGACG00000002226;ENSGACG00000003751
EOG8FN5V1	GB41002	ENSMUSG00000039994	ENSGACG00000000545
EOG8FN5V9	GB54187	ENSMUSG00000022364	ENSGACG00000005646
EOG8FN5W4	GB45583	ENSMUSG00000040263	ENSGACG00000003198
EOG8FN5W5	GB46980	ENSMUSG00000006289	ENSGACG00000019496
EOG8FN5WT	GB41808;GB41807	ENSMUSG00000001627;ENSMUSG00000010048	ENSGACG00000018919;ENSGACG00000005812
EOG8FN5WX	GB47839;GB50995	ENSMUSG00000005973;ENSMUSG00000032320;ENSMUSG00000019539;ENSMUSG00000029767	ENSGACG00000010496;ENSGACG00000016025;ENSGACG00000012813;ENSGACG00000004729
EOG8FN5X3	GB44703	ENSMUSG00000040850	ENSGACG00000002691;ENSGACG00000005686
EOG8FN5X5	GB44776	ENSMUSG00000026000;ENSMUSG00000062190	ENSGACG00000014735;ENSGACG00000000972
EOG8FN5X6	GB47969	ENSMUSG00000002658	ENSGACG00000012677
EOG8FN5XF	GB50680	ENSMUSG00000018761	ENSGACG00000020078;ENSGACG00000020402
EOG8FN5Z0	GB46313	ENSMUSG00000093806	ENSGACG00000004587;ENSGACG00000006621;ENSGACG00000001985
EOG8FN5Z2	GB43228	ENSMUSG00000044328	ENSGACG00000006174
EOG8FN5Z9	GB54103	ENSMUSG00000005804	ENSGACG00000016843
EOG8FR22V	GB40437;GB40348	ENSMUSG00000020135;ENSMUSG00000005871	ENSGACG00000003307;ENSGACG00000015508
EOG8FR235	GB48643;GB43171	ENSMUSG00000032116;ENSMUSG00000032437	ENSGACG00000003773;ENSGACG00000003131;ENSGACG00000020193
EOG8FR237	GB48639	ENSMUSG00000027276;ENSMUSG00000002799	ENSGACG00000019600;ENSGACG00000004493;ENSGACG00000007522
EOG8FR23C	GB53310	ENSMUSG00000026103;ENSMUSG00000044005	ENSGACG00000005817;ENSGACG00000002657;ENSGACG00000015599;ENSGACG00000003096
EOG8FR23M	GB52616	ENSMUSG00000027649	ENSGACG00000004681
EOG8FR23N	GB51074;GB45106;GB50701	ENSMUSG00000034959;ENSMUSG00000001482;ENSMUSG00000051344;ENSMUSG00000035629	ENSGACG00000002110;ENSGACG00000009086;ENSGACG00000015953;ENSGACG00000008127
EOG8FR23P	GB54097	ENSMUSG00000026177;ENSMUSG00000023030	ENSGACG00000011691;ENSGACG00000000472
EOG8FR23R	GB50814	ENSMUSG00000041977;ENSMUSG00000059495;ENSMUSG00000040940	ENSGACG00000018980;ENSGACG00000009080
EOG8FR23V	GB44048	ENSMUSG00000020311	ENSGACG00000005596
EOG8FR23X	GB49773	ENSMUSG00000015837	ENSGACG00000016271
EOG8FR246	GB45426	ENSMUSG00000045414;ENSMUSG00000037358	ENSGACG00000003735
EOG8FR247	GB50427	ENSMUSG00000028614	ENSGACG00000016789
EOG8FR24B	GB50326	ENSMUSG00000012428;ENSMUSG00000026389;ENSMUSG00000015653;ENSMUSG00000015652	ENSGACG00000008786;ENSGACG00000000100;ENSGACG00000014961;ENSGACG00000008834
EOG8FR24C	GB43543;GB45548;GB50822;GB40809;GB40975;GB42202;GB45542	ENSMUSG00000029054;ENSMUSG00000007653;ENSMUSG00000055078;ENSMUSG00000074991;ENSMUSG00000018589;ENSMUSG00000020159;ENSMUSG00000020436;ENSMUSG00000033676;ENSMUSG00000028020;ENSMUSG00000038257;ENSMUSG00000031343;ENSMUSG00000010803;ENSMUSG00000029212;ENSMUSG00000029211;ENSMUSG00000020428;ENSMUSG00000031340;ENSMUSG00000001260;ENSMUSG00000000560;ENSMUSG00000018595;ENSMUSG00000028280;ENSMUSG00000000263;ENSMUSG00000023267;ENSMUSG00000031344;ENSMUSG00000055026	ENSGACG00000020293;ENSGACG00000013771;ENSGACG00000013764;ENSGACG00000020742;ENSGACG00000018710;ENSGACG00000020143;ENSGACG00000018167;ENSGACG00000016854;ENSGACG00000020743;ENSGACG00000020292;ENSGACG00000002843;ENSGACG00000014983;ENSGACG00000016556;ENSGACG00000018471;ENSGACG00000012185;ENSGACG00000003900;ENSGACG00000020740;ENSGACG00000012193;ENSGACG00000018169;ENSGACG00000005485;ENSGACG00000020667;ENSGACG00000013753;ENSGACG00000013137;ENSGACG00000009199;ENSGACG00000018709;ENSGACG00000020739;ENSGACG00000014966;ENSGACG00000001648;ENSGACG00000017470;ENSGACG00000016232;ENSGACG00000013033;ENSGACG00000014968;ENSGACG00000020326;ENSGACG00000016251;ENSGACG00000020741
EOG8FR24T	GB42534	ENSMUSG00000020785;ENSMUSG00000029471	ENSGACG00000017528;ENSGACG00000011259;ENSGACG00000020227
EOG8FR24W	GB51072	ENSMUSG00000063171;ENSMUSG00000098559;ENSMUSG00000031320;ENSMUSG00000046411	ENSGACG00000018720
EOG8FR255	GB50834	ENSMUSG00000030545;ENSMUSG00000028102	ENSGACG00000010771;ENSGACG00000000541
EOG8FR257	GB55059;GB55058	ENSMUSG00000020866;ENSMUSG00000024112;ENSMUSG00000022416	ENSGACG00000012699;ENSGACG00000012693;ENSGACG00000016785;ENSGACG00000005323
EOG8FR25H	GB40879	ENSMUSG00000020283	ENSGACG00000002732
EOG8FR263	GB54701	ENSMUSG00000022024	ENSGACG00000012882
EOG8FTX9X	GB46886	ENSMUSG00000026959	ENSGACG00000018121;ENSGACG00000000237
EOG8TMSCQ	GB50609;GB49117;GB40866;GB50246	ENSMUSG00000026864;ENSMUSG00000015656;ENSMUSG00000007033;ENSMUSG00000027002;ENSMUSG00000090877;ENSMUSG00000091971;ENSMUSG00000022488;ENSMUSG00000059970	ENSGACG00000013055;ENSGACG00000011628;ENSGACG00000006854;ENSGACG00000020117;ENSGACG00000007569;ENSGACG00000010517;ENSGACG00000016633;ENSGACG00000013051;ENSGACG00000013046;ENSGACG00000013048;ENSGACG00000007903
EOG8FTX9Z	GB45253;GB41948	ENSMUSG00000025272;ENSMUSG00000028755;ENSMUSG00000025151	ENSGACG00000019255;ENSGACG00000007730
EOG8FTXB0	GB40310	ENSMUSG00000015599;ENSMUSG00000090100	ENSGACG00000009811;ENSGACG00000019567;ENSGACG00000011147;ENSGACG00000011144
EOG8FTXB3	GB50854	ENSMUSG00000009090;ENSMUSG00000035152	ENSGACG00000008581;ENSGACG00000020759
EOG8FTXB4	GB47888	ENSMUSG00000025220	ENSGACG00000007296;ENSGACG00000018341;ENSGACG00000019888
EOG8FTXBB	GB46122	ENSMUSG00000024824;ENSMUSG00000097909;ENSMUSG00000038569	ENSGACG00000017773;ENSGACG00000013463
EOG8FTXBF	GB52074	ENSMUSG00000028961	ENSGACG00000007164
EOG8FTXB7	GB54271	ENSMUSG00000021978	ENSGACG00000008404
EOG8FTXBJ	GB43135	ENSMUSG00000017868;ENSMUSG00000019699;ENSMUSG00000001729;ENSMUSG00000004056;ENSMUSG00000025915;ENSMUSG00000019970	ENSGACG00000019752;ENSGACG00000006063;ENSGACG00000010522;ENSGACG00000006296;ENSGACG00000020088;ENSGACG00000002922;ENSGACG00000010973;ENSGACG00000002364;ENSGACG00000006298
EOG8FTXBK	GB49937;GB44716	ENSMUSG00000034371	ENSGACG00000018805
EOG8FTXC8	GB49324	ENSMUSG00000035311	ENSGACG00000019866
EOG8FTXCH	GB51014	ENSMUSG00000040659;ENSMUSG00000026255	ENSGACG00000005038;ENSGACG00000012943
EOG8FTXCN	GB44631	ENSMUSG00000030979	ENSGACG00000002608
EOG8FTXDB	GB53918	ENSMUSG00000041733	ENSGACG00000014667
EOG8FTXDF	GB49166	ENSMUSG00000029778;ENSMUSG00000026387;ENSMUSG00000011171;ENSMUSG00000003476;ENSMUSG00000004654;ENSMUSG00000032528;ENSMUSG00000018634	ENSGACG00000004272;ENSGACG00000017188;ENSGACG00000012836;ENSGACG00000017549;ENSGACG00000005364;ENSGACG00000011760;ENSGACG00000017184;ENSGACG00000005402;ENSGACG00000017393;ENSGACG00000003341
EOG8FTXDX	GB51336;GB50535;GB51337	ENSMUSG00000044447;ENSMUSG00000039716;ENSMUSG00000020143;ENSMUSG00000035954;ENSMUSG00000058325	ENSGACG00000012483;ENSGACG00000017885;ENSGACG00000002671;ENSGACG00000018923;ENSGACG00000000014;ENSGACG00000002640
EOG8FTXFZ	GB47821	ENSMUSG00000062376	ENSGACG00000002571
EOG8FXSJS	GB45813;GB45812	ENSMUSG00000061751;ENSMUSG00000019467;ENSMUSG00000022263	ENSGACG00000000714;ENSGACG00000006462;ENSGACG00000008996;ENSGACG00000008415;ENSGACG00000008174;ENSGACG00000010486
EOG8FXSJR	GB45114	ENSMUSG00000050244	ENSGACG00000010205
EOG8FXSJV	GB44368	ENSMUSG00000027134;ENSMUSG00000021608;ENSMUSG00000033794;ENSMUSG00000033192	ENSGACG00000016648;ENSGACG00000006610;ENSGACG00000018883;ENSGACG00000009020
EOG8FXSJW	GB46036	ENSMUSG00000032834	ENSGACG00000014928
EOG8FXSK2	GB49406	ENSMUSG00000003316	ENSGACG00000017337;ENSGACG00000008520
EOG8FXSK6	GB55913	ENSMUSG00000018068	ENSGACG00000020212
EOG8FXSKD	GB44008	ENSMUSG00000033880;ENSMUSG00000000202	ENSGACG00000011059;ENSGACG00000010921;ENSGACG00000014450
EOG8FXSKF	GB45458	ENSMUSG00000029201	ENSGACG00000016178
EOG8FXSKM	GB43266	ENSMUSG00000030970;ENSMUSG00000037373	ENSGACG00000016437;ENSGACG00000018122;ENSGACG00000002600;ENSGACG00000009651
EOG8FXSKZ	GB43938	ENSMUSG00000033857	ENSGACG00000005388
EOG8FXSMH	GB52694	ENSMUSG00000005779	ENSGACG00000009889
EOG8FXSMW	GB40124	ENSMUSG00000038121	ENSGACG00000003729
EOG8FXSN1	GB40467	ENSMUSG00000023286	ENSGACG00000007882
EOG8FXSN5	GB48636	ENSMUSG00000061286	ENSGACG00000012986
EOG8FXSNV	GB52291	ENSMUSG00000020325;ENSMUSG00000021765	ENSGACG00000004583;ENSGACG00000012995
EOG8FXSP6	GB47590	ENSMUSG00000061477;ENSMUSG00000073844;ENSMUSG00000044424;ENSMUSG00000095597	ENSGACG00000011913
EOG8FXSPF	GB50686;GB45075;GB45074;GB45639;GB45076	ENSMUSG00000051817;ENSMUSG00000074637;ENSMUSG00000045179;ENSMUSG00000061517;ENSMUSG00000096014;ENSMUSG00000053747;ENSMUSG00000063632;ENSMUSG00000076431	ENSGACG00000002889;ENSGACG00000006620;ENSGACG00000006100;ENSGACG00000009065;ENSGACG00000020077;ENSGACG00000009053;ENSGACG00000004124;ENSGACG00000017181;ENSGACG00000014850
EOG8FXSQ0	GB42195	ENSMUSG00000069020	ENSGACG00000017389
EOG8FXSQ7	GB53661;GB42899	ENSMUSG00000021891;ENSMUSG00000020691;ENSMUSG00000041975	ENSGACG00000001695;ENSGACG00000005019;ENSGACG00000009023
EOG8G1NSR	GB42496	ENSMUSG00000038518	ENSGACG00000003533
