"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p"
"ENSMUSG00000004035" "chr3-4365" "chr3" 107733303 107733501 2.87 4.44e-05
"ENSMUSG00000004038" "chr3-2058" "chr3" 107744519 107744703 2.03 7.17e-05
"ENSMUSG00000004069" "chr16-1724" "chr16" 4709382 4709580 3.97 7.31e-09
"ENSMUSG00000004069" "chr16-971" "chr16" 4642888 4643072 2.09 5.3e-05
"ENSMUSG00000004098" "chr9-5030" "chr9" 20620925 20621123 5.27 1.92e-09
"ENSMUSG00000004105" "chr2-3811" "chr2" 33110627 33110811 2.44 2.71e-05
"ENSMUSG00000004110" "chr1-4582" "chr1" 156265722 156265920 3.19 3.05e-07
"ENSMUSG00000004113" "chr2-4483" "chr2" 24479151 24479349 2.98 2.94e-06
"ENSMUSG00000004113" "chr2-7428" "chr2" 24606586 24606770 3.13 3.32e-05
"ENSMUSG00000004360" "chr10-3751" "chr10" 28928475 28928673 2.66 6.68e-05
"ENSMUSG00000004455" "chr5-1968" "chr5" 122615365 122615563 2.26 4.87e-07
"ENSMUSG00000004530" "chr5-2949" "chr5" 114335671 114335869 3.94 3.97e-11
"ENSMUSG00000004530" "chr5-6382" "chr5" 114337107 114337305 3.01 1.45e-05
"ENSMUSG00000004562" "chr14-2603" "chr14" 52626225 52626423 2.63 3.37e-06
"ENSMUSG00000004631" "chr6-3053" "chr6" 4674460 4674658 2.59 4.69e-05
"ENSMUSG00000004633" "chr6-5125" "chr6" 53991030 53991228 3.03 5.69e-05
"ENSMUSG00000004654" "chr6-3438" "chr6" 55342164 55342362 3.09 9.64e-07
"ENSMUSG00000004698" "chr12-1510" "chr12" 35183956 35184154 2.01 3.54e-05
"ENSMUSG00000004698" "chr12-1877" "chr12" 35214821 35215019 2.28 1.17e-05
"ENSMUSG00000004791" "chr12-2534" "chr12" 86492420 86492618 2.17 9.03e-05
"ENSMUSG00000004897" "chr3-1021" "chr3" 87723046 87723244 2.68 2.75e-12
"ENSMUSG00000004936" "chr9-5004" "chr9" 64046595 64046779 7.31 5.4e-12
"ENSMUSG00000004945" "chr17-4458" "chr17" 5466878 5467076 2.63 9.4e-05
"ENSMUSG00000004951" "chr5-2809" "chr5" 136355555 136355753 2.14 4e-05
"ENSMUSG00000005034" "chr3-4462" "chr3" 146404341 146404539 2.66 6.68e-05
"ENSMUSG00000005034" "chr3-5701" "chr3" 146422302 146422500 3.45 1.99e-05
"ENSMUSG00000005057" "chr5-1909" "chr5" 136713812 136714010 2.35 4.54e-07
"ENSMUSG00000005089" "chr2-4008" "chr2" 102516875 102517073 2.63 3.37e-06
"ENSMUSG00000005102" "chr2-9153" "chr2" 118291179 118291377 2.63 9.4e-05
"ENSMUSG00000005125" "chr15-4270" "chr15" 66798099 66798297 3.19 1.76e-05
"ENSMUSG00000005312" "chr13-3436" "chr13" 58288734 58288932 4.22 8.11e-08
"ENSMUSG00000005338" "chr1-1371" "chr1" 175320573 175320771 2.01 9.25e-07
"ENSMUSG00000005370" "chr17-2092" "chr17" 88386822 88387020 2.65 9.03e-07
"ENSMUSG00000005371" "chr17-2092" "chr17" 88386822 88387020 2.65 9.03e-07
"ENSMUSG00000005410" "chr8-5334" "chr8" 77660947 77661145 2.99 1.14e-05
"ENSMUSG00000005417" "chr11-5155" "chr11" 59568479 59568677 2.61 1.26e-05
"ENSMUSG00000005506" "chr2-1803" "chr2" 90795849 90796047 2.21 1.41e-08
"ENSMUSG00000005514" "chr5-4746" "chr5" 136186224 136186422 3.35 5.18e-06
"ENSMUSG00000005534" "chr8-2879" "chr8" 3348105 3348303 7.66 9.13e-17
"ENSMUSG00000005609" "chr7-4991" "chr7" 118126118 118126316 3.67 3.91e-07
"ENSMUSG00000005611" "chr7-4991" "chr7" 118126118 118126316 3.67 3.91e-07
"ENSMUSG00000005621" "chr7-6477" "chr7" 88165454 88165652 3.45 1.99e-05
"ENSMUSG00000005683" "chr10-1402" "chr10" 127780421 127780619 2.01 3.54e-05
"ENSMUSG00000005686" "chr7-5965" "chr7" 117858038 117858236 3.35 5.18e-06
"ENSMUSG00000005716" "chr15-3914" "chr15" 78015716 78015914 3.67 3.91e-07
"ENSMUSG00000005873" "chr18-3039" "chr18" 34510409 34510607 3.01 1.45e-05
"ENSMUSG00000005873" "chr18-3378" "chr18" 34531118 34531316 3.35 5.18e-06
"ENSMUSG00000005883" "chr2-2630" "chr2" 172802837 172803035 2.75 2.34e-08
"ENSMUSG00000005886" "chr1-4276" "chr1" 13194635 13194833 2.66 6.68e-05
"ENSMUSG00000005968" "chr3-3249" "chr3" 94452953 94453151 3.01 1.45e-05
"ENSMUSG00000006024" "chr7-3341" "chr7" 16696663 16696861 2.47 2.26e-05
"ENSMUSG00000006191" "chr13-3689" "chr13" 29405507 29405705 2.75 3.34e-05
"ENSMUSG00000006205" "chr7-3136" "chr7" 138094945 138095143 2.09 8.66e-05
"ENSMUSG00000006205" "chr7-4332" "chr7" 138122294 138122492 2.77 2.45e-05
"ENSMUSG00000006435" "chr19-3417" "chr19" 47277505 47277703 6.39 5.59e-10
"ENSMUSG00000006462" "chr2-6189" "chr2" 167572424 167572622 5.27 1.92e-09
"ENSMUSG00000006462" "chr2-8449" "chr2" 167565588 167565786 2.87 3.34e-05
"ENSMUSG00000006522" "chr14-4361" "chr14" 31730192 31730390 3.03 5.69e-05
"ENSMUSG00000006526" "chr14-1904" "chr14" 31682907 31683105 2.87 1.55e-07
"ENSMUSG00000006527" "chr14-3843" "chr14" 31512825 31513023 2.87 4.44e-05
"ENSMUSG00000006587" "chr8-5509" "chr8" 124984513 124984697 3.34 4.22e-05
"ENSMUSG00000006740" "chr18-1932" "chr18" 6242739 6242937 3.23 1.17e-06
"ENSMUSG00000006782" "chr11-6731" "chr11" 100449697 100449881 3.65 7.49e-07
"ENSMUSG00000006800" "chr2-6809" "chr2" 165933453 165933651 2.87 3.34e-05
"ENSMUSG00000006800" "chr2-8184" "chr2" 165935678 165935862 4.44 6.39e-07
"ENSMUSG00000006906" "chr6-1519" "chr6" 83493002 83493200 2.19 3.64e-06
"ENSMUSG00000006930" "chr11-3238" "chr11" 100213696 100213894 2.53 1.7e-06
"ENSMUSG00000007097" "chr1-1277" "chr1" 174228336 174228520 2.02 1.06e-06
"ENSMUSG00000007440" "chr18-1318" "chr18" 37336119 37336317 2.4 2.06e-06
"ENSMUSG00000007440" "chr18-2881" "chr18" 37424554 37424738 2.55 9.69e-05
"ENSMUSG00000007476" "chr2-3918" "chr2" 30101037 30101235 3.47 1.04e-07
"ENSMUSG00000007564" "chr17-1802" "chr17" 21083744 21083942 2.11 1.19e-05
"ENSMUSG00000007659" "chr2-3418" "chr2" 152640741 152640925 2.61 6.64e-07
"ENSMUSG00000007739" "chr11-7264" "chr11" 22887588 22887786 3.03 5.69e-05
"ENSMUSG00000007817" "chr14-1894" "chr14" 26444600 26444798 2.58 2.4e-06
"ENSMUSG00000007817" "chr14-2018" "chr14" 26440924 26441122 2.36 7.3e-06
"ENSMUSG00000007817" "chr14-2776" "chr14" 26377160 26377358 3.41 2.77e-08
"ENSMUSG00000007867" "chr12-1545" "chr12" 87504245 87504443 3.1 1.46e-09
"ENSMUSG00000007880" "chr4-2584" "chr4" 133231314 133231512 2.02 8.02e-05
"ENSMUSG00000007891" "chr7-4074" "chr7" 149558986 149559170 2.71 8.62e-06
"ENSMUSG00000007908" "chr9-2264" "chr9" 75871992 75872190 2.53 1.7e-06
"ENSMUSG00000008036" "chr7-6891" "chr7" 17344794 17344992 3.26 6.9e-05
"ENSMUSG00000008318" "chr7-7354" "chr7" 108016461 108016659 4.55 2.48e-07
"ENSMUSG00000008429" "chr9-2311" "chr9" 25012763 25012961 2.3 1.74e-05
"ENSMUSG00000008429" "chr9-3479" "chr9" 24953979 24954177 3.56 3.89e-07
"ENSMUSG00000008489" "chr4-1465" "chr4" 91047469 91047667 2.74 6.78e-11
"ENSMUSG00000008489" "chr4-5655" "chr4" 90955688 90955886 4.31 1.13e-06
"ENSMUSG00000008575" "chr4-3435" "chr4" 82114000 82114198 2.7 4.68e-06
"ENSMUSG00000008575" "chr4-6276" "chr4" 82029006 82029204 3.19 1.76e-05
"ENSMUSG00000008575" "chr4-2278" "chr4" 82177991 82178189 2.07 3.82e-05
"ENSMUSG00000008658" "chr16-2191" "chr16" 7052623 7052821 3.51 1.46e-06
"ENSMUSG00000008734" "chr7-3276" "chr7" 126116901 126117099 2.4 1.07e-05
"ENSMUSG00000008734" "chr7-3277" "chr7" 126133175 126133373 2.81 3.12e-08
"ENSMUSG00000008855" "chr11-2641" "chr11" 102079139 102079337 2.51 8.8e-09
"ENSMUSG00000008999" "chr2-2630" "chr2" 172802837 172803035 2.75 2.34e-08
"ENSMUSG00000009070" "chr10-2386" "chr10" 74452263 74452461 2.68 1.77e-05
"ENSMUSG00000009281" "chr6-1582" "chr6" 48539277 48539475 2 2.35e-05
"ENSMUSG00000009406" "chrX-614" "chrX" 20527960 20528158 2.34 9.71e-07
"ENSMUSG00000009418" "chr1-3768" "chr1" 137431929 137432127 2.17 9.03e-05
"ENSMUSG00000009418" "chr1-4998" "chr1" 137394625 137394823 4.41 1.82e-08
"ENSMUSG00000009470" "chr13-3543" "chr13" 99680365 99680563 2.68 1.77e-05
"ENSMUSG00000009569" "chr16-1751" "chr16" 13337465 13337663 2.87 2.25e-06
"ENSMUSG00000009630" "chr8-3942" "chr8" 34717540 34717738 3.35 3.55e-07
"ENSMUSG00000009647" "chr10-3814" "chr10" 59065661 59065859 2.87 3.34e-05
"ENSMUSG00000009681" "chr10-5445" "chr10" 74593346 74593544 3.51 1.46e-06
"ENSMUSG00000009828" "chr9-2031" "chr9" 77994778 77994976 2.14 3.64e-06
"ENSMUSG00000009828" "chr9-2896" "chr9" 77995518 77995716 2.28 8.94e-05
"ENSMUSG00000010021" "chr11-6407" "chr11" 114651986 114652184 3.35 5.18e-06
"ENSMUSG00000010064" "chr9-2744" "chr9" 107537959 107538157 2.4 1.07e-05
"ENSMUSG00000010066" "chr9-1849" "chr9" 107386545 107386743 2.11 1.19e-05
"ENSMUSG00000010066" "chr9-3714" "chr9" 107366586 107366784 2.55 8.87e-06
"ENSMUSG00000010175" "chr1-3874" "chr1" 191973979 191974177 2.7 4.68e-06
"ENSMUSG00000010175" "chr1-3546" "chr1" 191985490 191985674 2.39 1.14e-05
"ENSMUSG00000010277" "chr11-8502" "chr11" 78103483 78103681 3.26 6.9e-05
"ENSMUSG00000010311" "chr1-2015" "chr1" 135792525 135792723 2.75 2.34e-08
"ENSMUSG00000010392" "chr11-2327" "chr11" 76548666 76548864 2.54 1.25e-08
"ENSMUSG00000010505" "chr2-3875" "chr2" 181494397 181494595 2.46 4.32e-06
"ENSMUSG00000010505" "chr2-5225" "chr2" 181504497 181504695 2.87 8.65e-06
"ENSMUSG00000010529" "chr12-4082" "chr12" 112751150 112751348 2.77 2.45e-05
"ENSMUSG00000010936" "chr8-1867" "chr8" 113194394 113194592 2.17 8.09e-06
"ENSMUSG00000010936" "chr8-2361" "chr8" 113225916 113226114 2.1 7.93e-06
"ENSMUSG00000010936" "chr8-3531" "chr8" 113195085 113195283 2.55 8.87e-06
"ENSMUSG00000011118" "chr9-6434" "chr9" 37496976 37497174 3.67 3.91e-07
"ENSMUSG00000011154" "chr7-1884" "chr7" 91027683 91027881 2.28 9.77e-08
"ENSMUSG00000011877" "chr11-4846" "chr11" 77321302 77321500 2.78 6.42e-06
"ENSMUSG00000011958" "chr9-6765" "chr9" 69835923 69836121 3.83 1.99e-05
"ENSMUSG00000012187" "chr1-2756" "chr1" 78567510 78567708 2.34 4.98e-06
"ENSMUSG00000012296" "chr17-2757" "chr17" 46411245 46411443 2.68 1.77e-05
"ENSMUSG00000012296" "chr17-2820" "chr17" 46406501 46406685 4.35 2.56e-09
"ENSMUSG00000012609" "chr12-1623" "chr12" 87234588 87234786 2.1 7.93e-06
"ENSMUSG00000012609" "chr12-3615" "chr12" 87415903 87416101 3.42 1.35e-06
"ENSMUSG00000013236" "chr17-1170" "chr17" 56626796 56626994 2.15 7.36e-07
"ENSMUSG00000013663" "chr19-2966" "chr19" 32862715 32862913 3.83 3.91e-07
"ENSMUSG00000013663" "chr19-2682" "chr19" 32979845 32980043 5.99 5.97e-11
"ENSMUSG00000013989" "chr5-4800" "chr5" 143641723 143641921 2.77 2.45e-05
"ENSMUSG00000013989" "chr5-6641" "chr5" 143615728 143615926 3.19 1.76e-05
"ENSMUSG00000014164" "chr13-1457" "chr13" 58152648 58152846 2.02 8.02e-05
"ENSMUSG00000014164" "chr13-1767" "chr13" 58154656 58154854 2.65 9.03e-07
"ENSMUSG00000014164" "chr13-1574" "chr13" 58169285 58169469 2.68 2.44e-07
"ENSMUSG00000014195" "chr11-6731" "chr11" 100449697 100449881 3.65 7.49e-07
"ENSMUSG00000014426" "chr17-1799" "chr17" 12460335 12460533 2.33 3.1e-07
"ENSMUSG00000014426" "chr17-3431" "chr17" 12500585 12500783 2.66 6.68e-05
"ENSMUSG00000014426" "chr17-3430" "chr17" 12490738 12490936 3.11 3.73e-06
"ENSMUSG00000014470" "chr8-5509" "chr8" 124984513 124984697 3.34 4.22e-05
"ENSMUSG00000014496" "chr14-1641" "chr14" 32481909 32482107 2.96 2e-07
"ENSMUSG00000014496" "chr14-4373" "chr14" 32602474 32602672 4.07 4.89e-06
"ENSMUSG00000014498" "chr10-1678" "chr10" 127815881 127816079 2.87 2.85e-09
"ENSMUSG00000014547" "chr14-1483" "chr14" 63487030 63487228 2.16 5.43e-06
"ENSMUSG00000014592" "chr4-2024" "chr4" 150660456 150660654 2.48 2.31e-07
"ENSMUSG00000014592" "chr4-2345" "chr4" 150472920 150473118 2.96 2e-07
"ENSMUSG00000014592" "chr4-2775" "chr4" 150736308 150736506 2.51 3.28e-07
"ENSMUSG00000014592" "chr4-3133" "chr4" 150913794 150913992 2.01 5.32e-05
"ENSMUSG00000014592" "chr4-3358" "chr4" 150992538 150992736 3.07 2.51e-07
"ENSMUSG00000014592" "chr4-4556" "chr4" 150597134 150597332 2.28 8.94e-05
"ENSMUSG00000014592" "chr4-3862" "chr4" 150590767 150590965 2.87 5.9e-07
"ENSMUSG00000014592" "chr4-4551" "chr4" 150451037 150451235 2.77 2.45e-05
"ENSMUSG00000014592" "chr4-4962" "chr4" 150455510 150455708 2.77 2.45e-05
"ENSMUSG00000014592" "chr4-4964" "chr4" 150479457 150479655 3.01 1.45e-05
"ENSMUSG00000014592" "chr4-5438" "chr4" 150676862 150677060 4.41 1.82e-08
"ENSMUSG00000014592" "chr4-6015" "chr4" 150489610 150489808 3.19 1.76e-05
"ENSMUSG00000014602" "chr1-4046" "chr1" 94919488 94919686 3.28 4.53e-06
"ENSMUSG00000014602" "chr1-3451" "chr1" 94993344 94993542 2.36 3.79e-05
"ENSMUSG00000014602" "chr1-5457" "chr1" 94922096 94922294 3.45 1.99e-05
"ENSMUSG00000014813" "chr14-1824" "chr14" 69598687 69598885 2.28 1.17e-05
"ENSMUSG00000014813" "chr14-2248" "chr14" 69600192 69600390 2.26 5.99e-05
"ENSMUSG00000015002" "chr15-4802" "chr15" 65615297 65615495 3.83 1.4e-06
"ENSMUSG00000015093" "chr2-8635" "chr2" 25305835 25306033 5.75 2.16e-08
"ENSMUSG00000015202" "chr10-3833" "chr10" 3143332 3143516 4.96 2.67e-08
"ENSMUSG00000015222" "chr1-2305" "chr1" 66196118 66196316 2.02 8.02e-05
"ENSMUSG00000015222" "chr1-2441" "chr1" 66324299 66324497 2.08 5.75e-05
"ENSMUSG00000015243" "chr4-5081" "chr4" 53043954 53044152 3.56 3.89e-07
"ENSMUSG00000015243" "chr4-5568" "chr4" 53123562 53123760 2.87 3.34e-05
"ENSMUSG00000015243" "chr4-5083" "chr4" 53129925 53130123 2.87 3.34e-05
"ENSMUSG00000015243" "chr4-6185" "chr4" 53132984 53133182 4.02 3.45e-07
"ENSMUSG00000015305" "chr10-2477" "chr10" 8473416 8473614 2.55 8.87e-06
"ENSMUSG00000015305" "chr10-2891" "chr10" 8506527 8506725 2.87 2.25e-06
"ENSMUSG00000015305" "chr10-3694" "chr10" 8507962 8508160 3.83 3.91e-07
"ENSMUSG00000015305" "chr10-4062" "chr10" 8666879 8667077 3.15 4.53e-06
"ENSMUSG00000015341" "chr8-3930" "chr8" 24348421 24348619 3.42 1.35e-06
"ENSMUSG00000015484" "chr1-2036" "chr1" 158134661 158134859 2.18 1.21e-05
"ENSMUSG00000015501" "chr10-2490" "chr10" 13927214 13927412 2.7 4.68e-06
"ENSMUSG00000015533" "chr13-1255" "chr13" 115713709 115713893 2.15 2.42e-05
"ENSMUSG00000015542" "chr11-8834" "chr11" 115068734 115068932 2.87 4.44e-05
"ENSMUSG00000015542" "chr11-6865" "chr11" 115091491 115091675 2.83 7.55e-05
"ENSMUSG00000015575" "chr17-1122" "chr17" 26847319 26847517 3.07 1.38e-13
"ENSMUSG00000015575" "chr17-1467" "chr17" 26796651 26796849 2.33 3.1e-07
"ENSMUSG00000015605" "chr17-1602" "chr17" 46689461 46689645 2.47 8.66e-08
"ENSMUSG00000015647" "chr2-6530" "chr2" 179954227 179954411 3 5.82e-06
"ENSMUSG00000015709" "chr7-3234" "chr7" 91551599 91551797 3.45 2.14e-09
"ENSMUSG00000015709" "chr7-4554" "chr7" 91470163 91470361 3.42 1.35e-06
"ENSMUSG00000015709" "chr7-7243" "chr7" 91507728 91507926 4.07 4.89e-06
"ENSMUSG00000015709" "chr7-4657" "chr7" 91486472 91486656 2.55 9.69e-05
"ENSMUSG00000015829" "chr1-3536" "chr1" 161690743 161690941 3.35 3.55e-07
"ENSMUSG00000015829" "chr1-5065" "chr1" 161783316 161783514 3.35 3.55e-07
"ENSMUSG00000015937" "chr13-3840" "chr13" 56213461 56213659 2.75 3.34e-05
"ENSMUSG00000015980" "chr7-2992" "chr7" 146421180 146421378 2.34 4.98e-06
